C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\conv.py:448: size=524 B, count=2, average=262 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:430: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\pooling.py:1179: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\functional.py:1213: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:222: size=520 B, count=1, average=520 B
C:\Users\shash\Desktop\btp\backend\utils.py:383: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\http.py:1218: size=512 B, count=1, average=512 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:2395: size=512 B, count=1, average=512 B
C:\Users\shash\Desktop\btp\backend\process.py:33: size=512 B, count=1, average=512 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\json\provider.py:230: size=504 B, count=3, average=168 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:381: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\orm\session.py:2438: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:2974: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:793: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:735: size=504 B, count=1, average=504 B
C:\Users\shash\Desktop\btp\backend\utils.py:404: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:110: size=496 B, count=1, average=496 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\utils.py:38: size=488 B, count=2, average=244 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\urls.py:816: size=488 B, count=1, average=488 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\pool\impl.py:135: size=488 B, count=1, average=488 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\pool\base.py:991: size=488 B, count=1, average=488 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:84: size=488 B, count=1, average=488 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\json\__init__.py:342: size=488 B, count=1, average=488 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:349: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:134: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\pool\base.py:464: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:286: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:131: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:298: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:2842: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:687: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\http.py:1237: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:547: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:504: size=472 B, count=1, average=472 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\dropout.py:58: size=472 B, count=1, average=472 B
