C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\batchnorm.py:168: size=536 B, count=1, average=536 B
C:\Users\shash\anaconda3\envs\lab\lib\subprocess.py:1435: size=533 B, count=9, average=59 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\conv.py:448: size=524 B, count=2, average=262 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:430: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\pooling.py:1179: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\functional.py:1213: size=520 B, count=1, average=520 B
C:\Users\shash\Desktop\btp\backend\utils.py:405: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:2395: size=512 B, count=1, average=512 B
C:\Users\shash\Desktop\btp\backend\utils.py:382: size=508 B, count=2, average=254 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\json\provider.py:230: size=504 B, count=3, average=168 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:381: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:2974: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:793: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:735: size=504 B, count=1, average=504 B
C:\Users\shash\Desktop\btp\backend\utils.py:356: size=504 B, count=1, average=504 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:236: size=496 B, count=1, average=496 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\utils.py:38: size=488 B, count=2, average=244 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:705: size=488 B, count=2, average=244 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\urls.py:816: size=488 B, count=1, average=488 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:349: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\transforms.py:134: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:286: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:131: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:298: size=480 B, count=1, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:2842: size=480 B, count=1, average=480 B
